abandon vt.；丢弃；放弃，抛弃
oneself pron.；自己；亲自
onion n.；洋葱，洋葱头
only adv.；只，仅仅；adj.；唯一的
onto prep.；到…上
open adj.；开的；开放的；vt.；开
opening adj.；开始的；n.；开始
opera n.；歌剧
operate vi.；操作；施行手术
operation n.；操作；手术；运算
operational adj.；操作上的；可使用的
operator n.；操作人员，接线员
opinion n.；意见，看法，主张
opponent n.；对手，敌手；对抗者
opportunity n.；机会，良机
oppose vt.；反对；反抗
opposite adj.；对面的；n.；对立物
oppress vt.；压迫，压制；压抑
optical adj.；眼的；光学的
optimistic adj.；乐观的；乐观主义的
optional adj.；可以任意选择的
or conj.；或，或者；即
oral adj.；口头的；口的
orange n.；橙(树)；柑(树)
orbit n.；运行轨道；vt.；环绕
orchestra n.；管弦乐队
order n.；次序；整齐；vt.；命令
orderly adj.；整洁的；有秩序的
ordinary adj.；平常的；平凡的
ore n.；矿，矿石，矿砂
organ n.；器官；机构；管风琴
organic adj.；有机体的；器官的
organism n.；生物体；有机体
organization n.；组织；团体，机构
organize vt.；组织，编组
overhead adj.；在头顶上的；架空的
overlook vt.；眺望；看漏；放任
overnight adv.；一夜；突然
overseas adv.；海外；adj.；在海外的
overtake vt.；追上，赶上；压倒
overtime adj.；超时的，加班的
owe vt.；欠；应把…归功于
owl n.；猫头鹰，枭
own adj.；自己的；vt.；有，拥有
owner n.；物主，所有人
ownership n.；所有(权)，所有制
ox n.；牛；公牛，阉牛
overcoat n.；外衣，大衣
overcome vt.；战胜，克服
pace n.；步，步速；vi.；踱步
pacific adj.；和平的；n.；太平洋
pack vt.；捆扎；挤满；n.；包
packet n.；小包(裹)，小捆
pad n.；垫；本子；vt.；填塞
page n.；页
pail n.；桶，提桶
pain n.；痛，疼痛；辛苦
painful adj.；使痛的；费力的
paint vt.；画；油漆；vi.；绘画
painter n.；漆工，画家，绘画者
painting n.；油画；绘画；着色
pair n.；一对；vi.；成对，配对
palace n.；宫，宫殿
pale adj.；苍白的；浅的
palm n.；手掌，手心；掌状物
pan n.；平底锅，盘子
panda n.；小猫熊；猫熊
pane n.；窗格玻璃
panel n.；专门小组；面，板
pant n.；气喘；心跳
paper n.；纸；官方文件；文章
parade n.；游行；检阅；vi.；游行
paradise n.；伊甸乐园；天堂
paragraph n.(文章的)段，节
parallel adj.；平行的；相同的
parcel n.；包裹，小包，邮包
pardon n.；原谅；赦免；vt.；原谅
parent n.；父亲，母亲，双亲
park n.；公园；停车场
parliament n.；议会，国会
part n.；一部分；零件；本份
partial adj.；部分的；不公平的
partially adv.；部分地
participate vi.；参与，参加；分享
particle n.；粒子，微粒
particular adj.；特殊的；特定的
particularly adv.；特别，尤其，格外
partly adv.；部分地，不完全地
partner n.；伙伴；搭挡；配偶
party n.；党，党派；聚会
pass vt.；经过；通过；度过
passage n.；通过；通路，通道
passenger n.；乘客，旅客，过路人
passion n.；激情，热情；爱好
passive adj.；被动的；消极的
assport n.；护照
permanent adj.；永久的，持久的
permanently adv.；永久地，持久地
permission n.；允许，许可，同意
permit vt.；允许；n.；执照
persist vi.；坚持，固执；持续
person n.；人；人身；本人
personal adj.；个人的；本人的
personnel n.；全体人员，全体职员
perspective n.；透视；远景；观点
persuade vt.；说服；vi.；被说服
pessimistic adj.；悲观的；厌世的
pet n.；爱畜；宠儿；adj.；宠爱的
petrol n.(英)汽油
petroleum n.；石油
phase n.；阶段；方面；相位
phenomenon n.；现象
philosopher n.；哲学家
philosophy n.；哲学；哲理；人生观
phone n.；电话，电话机；耳机
photograph n.；照片，相片
photographic adj.；摄影的，摄影用的
phrase n.；短语；习惯用语
physician n.；医生，内科医生
physicist n.；物理学家
physics n.；物理学
piano n.；钢琴
pick n.；镐，鹤嘴锄
pick vt.；拾，摘；vi.；采摘
picnic n.；郊游，野餐；vi.；野餐
picture n.；画，图片；vt.；画
pie n.(西点)馅饼
piece n.；碎片，块；vt.；拼合
pierce vt.；剌穿；vi.；穿入
pig n.；猪，小猪，野猪
pigeon n.；鸽子
pile n.；堆；vt.；堆叠，累积
pill n.；药丸，丸剂
pillar n.；柱，柱子；栋梁
pillow n.；枕头
pilot n.；领航员；飞行员
pin n.；针，饰针；n.；别住
pinch vt.；捏，拧，掐掉
pine n.；松树，松木
pink n.；粉红色；adj.；粉红色的
pint n.；品脱
policy n.；政策，方针
polish vt.；磨光；使优美
polite adj.；有礼貌的；有教养的
political adj.；政治的，政治上的
politician n.；政治家；政客
politics n.；政治，政治学；政纲
pollute vt.；弄脏，污染，沾污
pollution n.；污染
pond n.；池塘
pool n.；水塘，游泳池，水池
pool n.；共用物；vt.；共有
poor adj.；贫穷的；贫乏的
pop n.；流行音乐，流行歌曲
pop n.；砰的一声，爆破声
popular adj.；民众的；流行的
population n.；人口；全体居民
porch n.；门廊，入口处
pork n.；猪肉
porridge n.；粥，麦片粥
port n.；港，港口
portable adj.；轻便的；手提的
porter n.；搬运工人
portion n.；一部分；一分
portrait n.；消像，画像
Portuguese n.；葡萄牙人；葡萄牙语
position n.；位置；职位；姿势
positive adj.；确定的；积极的
possess vt.；占用，拥有(财产)
possession n.；有，所有；占有物
possibility n.；可能；可能的事
possible adj.；可能的；可能存在的
possibly adv.；可能地；也许
post n.；柱，桩，杆；vt.；贴出
post n.；邮政，邮寄；邮件
post n.；岗位，哨所；职位
postage n.；邮费，邮资
postman n.；邮递员
postpone vt.；延迟，推迟，延缓
pot n.；锅，壶，罐，盆
potato n.；马铃薯，土豆
potential adj.；潜在的；n.；潜力
pound n.；磅；英磅
pound vt.；捣碎；舂烂；猛击
pour vt.；灌，倒；vi.；倾泻
poverty n.；贫穷，贫困
powder n.；粉末；药粉；火药
prime adj.；首要的；n.；春，青春
primitive adj.；原始的；粗糙的
prince n.；王子，亲王
princess n.；公主，王妃
principal adj.；主要的；n.；负责人
principle n.；原则，原理；主义
print vt.；印刷；n.；印刷；正片
prior adj.；在先的；优先的
prison n.；监狱，监禁
prisoner n.；囚犯
private adj.；私人的；私下的
privilege n.；特权，优惠
prize n.；奖赏，奖金；vt.；珍视
probability n.；可能性；概率
probable adj.；或有的；大概的
probably adv.；或许，大概
problem n.；问题；习题，问题
procedure n.；程序；手续；过程
proceed vi.；进行；继续进行
process n.；过程；工序；vt.；加工
procession n.；队伍，行列
proclaim vt.；宣告，宣布；表明
produce vt.；生产；产生；展现
product n.；产品，产物；(乘)积
production n.；生产；产品；总产量
productive adj.；生产的；丰饶的
profession n.；职业
professional adj.；职业的；n.；专业人员
professor n.；教授
profit n.；益处；利润；vi.；得益
program n.；节目单；大纲；程序
progress n.；前进，进展；进步
progressive adj.；进步的；向前进的
prohibit vt.；禁止，阻止
project n.；方案，工程；vi.；伸出
prominent adj.；实起的；突出的
promise n.；诺言；指望；vt.；允诺
promising adj.；有希望的；有前途的
promote vt.；促进，发扬；提升
prompt adj.；及时的；vt.；敦促
pronoun n.；代名词
pronounce vt.；发…的音；宣布
pronunciation n.；发音，发音法
proof n.；证据；证明；校样
proper adj.；适合的；合乎体统的
properly adv.；适当地；彻底地
past adj.；过去的；n.；过去
pastime n.；消遣，娱乐
pat n.&vt.&n.；轻拍
patch n.；补钉；碎片；vt.；补缀
path n.；路，小道；道路
patience n.；忍耐，容忍，耐心
patient adj.；忍耐的；n.；病人
pattern n.；型，式样，模，模型
pause n.&vi.；中止，暂停
pave vt.；铺，筑(路等)
pavement n.(英)人行道
paw n.；脚爪，爪子
pay vt.；支付；付给；给予
payment n.；支付，支付的款项
pea n.；豌豆；豌豆属植物
peace n.；和平；和睦；平静
peaceful adj.；和平的；安静的
peach n.；桃子，桃树
peak n.；山顶，巅；adj.；最高的
pear n.；梨子，梨树
pearl n.；珍珠；珍珠母
peasant n.；农民
pebble n.；卵石，细砾
peculiar adj.；特有的；特别的
peel vt.；剥(皮)，削(皮)
peep vi.(从缝隙中)偷看
pen n.；钢笔，自来水笔
pencil n.；铅笔
penetrate vt.；穿过；vi.；穿入
peninsula n.；半岛
penny n.(英)便士；(美)分
pension n.；抚恤金，年金
people n.；人民，民族；人
pepper n.；胡椒，胡椒粉
per prep.；每
perceive vt.；察觉，发觉；理解
percent n.；百分之…
percentage n.；百分比，百分率
perfect adj.；完美的；完全的
perfectly adv.；很，完全
perform vt.；履行，执行；演出
performance n.；履行；演出；行为
perfume n.；香味，芳香；香料
perhaps adv.；也许，可能，多半
period n.；时期；学时；句号
pioneer n.；拓荒者；先驱者
pipe n.；管子，导管；烟斗
pipeline n.；管道，管线
pistol n.；手枪
pit n.；坑，地坑；煤矿
pitch n.；沥青
pitch vt.；投，掷；vi.；投掷
pity n.；怜悯；遗憾；vt.；同情
place n.；地方，地点；住所
plain n.；平原；adj.；清楚的
plan n.&vt.；计划，打算
plane n.；平面；飞机
planet n.；行星
plant n.；植物；工厂；vt.；栽种
plantation n.；种植园；栽植
plaster n.；灰泥；硬膏；熟石膏
plastic adj.；可塑的；n.；塑料
platform n.；平台；站台；讲台
play vi.；玩，游戏；演奏
player n.；游戏的人；比赛者
playground n.；操场，运动场
pleasant adj.；令人愉快的，舒适的
please vt.；使高兴，请；vi.；满意
pleasure n.；愉快，快乐；乐事
plentiful adj.；丰富的，富裕的
plenty n.；丰富，充足，大量
plot n.；小块土地；vt.；密谋
plough n.；犁；vt.&vi.；犁，耕
pluck vt.；采，摘；拉下；n.；拉
plug n.；塞子；插头；vt.；塞
plunge vt.；使投入；使陷入
plural adj.；复数的；n.；复数
plus prep.；加，加上；adj.；正的
pocket n.；衣袋；n.；袖珍的
poet n.；诗人
poetry n.；诗，诗歌，诗作
point n.；点；要点；细目；分
poison n.；毒，毒药；vt.；毒害
poisonous adj.；有毒的，有害的
pole n.；杆，柱
pole n.；极(点)，磁极，电极
police n.；警察；警察当局
policeman n.；警察
power n.；能力；力；权；幂
powerful adj.；强有力的；有权威的
practical adj.；实践的；实用的
practice n.；实践；练习；业务
practise vt.；练习，实习，训练
praise n.；赞扬，赞美；vi.；赞扬
pray vt.&vi.；请求；祈祷
prayer n.；祈祷，祈求
precaution n.；预防；警惕
preceding adj.；在前的；在先的
precious adj.；珍贵的，宝贵的
precision n.；精确，精密，精密度
predict v.；预言，预告，预测
preface n.；序言，前言，引语
prefer vt.；宁可，宁愿
preferable adj.；更可取的，更好的
preference n.；偏爱，优先；优先权
prejudice n.；偏见，成见
preliminary adj.；预备的，初步的
premier n.；总理，首相
preparation n.；准备，预备；制备
prepare vt.&vi.；准备，预备
preposition n.；前置词，介词
prescribe vt.；命令；处(方)
presence n.；出席，到场；在
present adj.；现在的；n.；目前
present vt.；赠送；介绍；提出
present n.；礼物，赠送物
presently adv.；一会儿；目前
preserve vt.；保护；保存；腌渍
press vt.；压，按，揿；催促
pressure n.；压力；压力；压，按
pretend vt.；假托，借口；vi.；假装
pretty adj.；漂亮的，标致的
prevail vi.；胜，优胜；流行
prevent vt.；预防，防止；阻止
previous adj.；先的；前的；adv.；在前
previously adv.；先前，预先
price n.；价格，价钱；代价
pride n.；骄傲；自豪；vt.；自夸
priest n.；教士，牧师，神父
primarily adv.；首先；主要地
primary adj.；最初的；基本的
property n.；财产，资产；性质
proportion n.；比，比率，部分
proportional adj.；比例的；相称的
proposal n.；提议，建议；求婚
propose vt.；提议；vi.；求婚
prospect n.；展望；前景，前程
prosperity n.；繁荣；昌盛，兴旺
prosperous adj.；繁荣的，昌盛的
protect vt.；保护，保卫，警戒
protection n.；保护，警戒
protective adj.；保护的，防护的
protein n.；蛋白质，朊
protest vt.&vi.&n.；抗议
proud adj.；骄傲的；自豪的
prove vt.；证明；vi.；结果是
provide vt.；提供；装备，供给
provided conj.；以…为条件
province n.；省；领域，部门
provision n.；供应；预备；存粮
psychological adj.；心理的，心理学的
public adj.；公众的；n.；公众
publication n.；公布；出版；出版物
publish vt.；公布；发表；出版
pudding n.；布丁
puff n.(一)喷，(一)吹
pull vt.；拉，拖；拉，拉力
pulse n.；脉搏；脉冲，脉动
pump n.；泵；vt.；用抽机抽
punch vt.；冲出；n.；冲压机
punch vt.；用拳猛击；n.；拳打
punctual adj.；严守时刻的；准时的
punish vt.；罚，惩罚，处罚
punishment n.；罚，惩罚，处罚
pupil n.；学生，小学生
pupil n.；瞳孔
puppet n.；木偶，玩偶；傀儡
purchase n.；买，购买；vt.；买
pure adj.；纯粹的；纯洁的
purely adv.；纯粹地，完全地
purify vt.；使纯净，使洁净
purity n.；纯净；纯洁；纯度
purple n.；紫色；adj.；紫的
purpose n.；目的；意图；效果
purse n.；钱包，小钱袋，手袋
pursue vt.；追赶，追踪；进行
pursuit n.；追赶；追求；事务
push vt.；推，逼迫；vi.；推
put vt.；放，摆；使处于
puzzle n.；难题；谜；vi.；使迷惑
qualify vt.；使具有资格
quality n.；质量；品质，特性
quantity n.；量，数量，分量
quarrel n.；争吵，吵架，口角
quart n.；夸脱(=2品脱)
quarter n.；四分之一；一刻钟
quarterly adj.；季度的；adv.；季度地
queen n.；王后；女王
queer adj.；奇怪的，古怪的
question n.；发问；问题；疑问
quicken vt.；加快；vi.；加快
quickly adv.；快，迅速
quiet adj.；寂静的；安静的
quilt n.；被(子)
quit vt.；离开，退出；停止
quite adv.；完全；相当；的确
quiz n.；小型考试，测验
quotation n.；引用；引文；报价单
quote vt.；引用，引证；报价
queue n.；行列；vi.；排队等候
quick adj.；快的；敏捷的
rabbit n.；兔子，野兔
race n.；比赛，竞赛，竞争
race n.；人种，种族，民族
racial adj.；种族的，人种的
rack n.；搁物架；行李架
rack vt.；使苦痛，折磨
racket n.；球拍
radar n.；雷达，无线电探测器
radiate vi.；发射光线；辐射
radiation n.；放射，发射；辐射能
radio n.；无线电；收音机
radioactive adj.；放射性的
radioactivity n.；放射性，放射(现象)
radish n.；小萝卜
radium n.；镭
radius n.；半径
rag n.；破布，碎布，抹布
rage n.(一阵)狂怒，盛怒
raid n.；袭击；突然搜查
rail n.；横条，横杆；铁轨
railroad n.；铁路；vi.；由铁路运输
railway n.；铁路，铁道
ecite vt.&vi.；背诵，朗诵
recognition n.；认出，识别；承认
recognize vt.；认识，认出；承认
recollect vt.；回忆，追忆，想起
recommend vt.；推荐，介绍；劝告
recommendation n.；推荐，介绍；劝告
record n.；记录；履历；vt.；记录
recorder n.；记录者；录音机
recover vt.；重新获得；挽回
recovery n.；重获；痊愈，恢复
red adj.；红色的；n.；红色
reduce vt.；减少，减小；简化
reduction n.；减少，减小，缩减
reed n.；芦苇，芦杆，芦丛
reel n.；卷轴，卷筒
refer vt.；使求助于；vi.；谈到
reference n.；参考；出处；提及
refine vt.&vi.；精炼，提纯
reflect vt.；反射；反映；思考
reflection n.；反射；映象；反映
reflexion n.；反射；映象；反映
reform vt.&n.；改革，改良
refresh vt.；使清新；vi.；恢复精神
refreshment n.；茶点，点心，便餐
refrigerator n.；冰箱，冷藏库
refuge n.；避难，庇护；庇护者
refusal n.；拒绝
refuse vt.；拒绝；vt.；拒绝
refute vt.；驳斥，反驳，驳倒
regard vt.；把…看作；尊敬
regarding prep.；关于
regardless adv.；不顾一切地
region n.；地区，地带；领域
register n.&vt.；登记，注册
regret vt.；懊悔；抱歉；n.；懊悔
regular adj.；规则的；整齐的
regularly adv.；有规律地
regulate vt.；管理，控制；调整
regulation n.；规则，规章；管理
rehearsal n.；排练，排演；练习
reign n.；君主统治；支配
rein n.；缰绳；vi.；驾驭，控制
reinforce vt.；增援，支援；加强
reject vt.；拒绝；丢掉；驳回
rejoice vi.；欣喜，高兴
relate vt.；叙述；使联系
reverse vt.；颠倒，翻转；n.；背面
review vt.；再检查；n.；复习
revise vt.；修订，校订；修改
revolt vi.&n.；反抗，造反
revolution n.；革命；旋转，绕转
revolutionary adj.；革命的；n.；革命者
reward n.；报答；报酬；vt.；报答
rhythm n.；韵律，格律；节奏
rib n.；肋，肋骨
ribbon n.；缎带，丝带；带
rice n.；稻，米，饭
rich adj.；富的，丰富的
rid vt.；使摆脱，使去掉
riddle n.；谜，谜语
ride vi.&n.；骑马，乘车
rider n.；骑马的人；乘车的人
ridge n.；脊；岭，山脉；垄
ridiculous adj.；荒谬的，可笑的
rifle n.；步枪，来复枪
right adj.；正确的；adv.；对，正好
rigid adj.；刚硬的；僵硬的
ring n.；环形物(如圈、环等)
ring vi.；鸣；按铃；n.；铃声
ripe adj.；熟的；时机成熟的
ripen vt.；使熟；vi.；成熟
rise vi.；起立；升起；上涨
risk n.；风险，危险，冒险
rival n.；竞争者；adj.；竞争的
river n.；江，河，水道
road n.；路，道路，公路
roar vi.；吼叫；呼喊；n.；吼
roast vt.&vi.；烤，炙，烘
rob vt.&vi.；抢劫；劫掠
robber n.；强盗，盗贼
robbery n.；抢劫，劫掠，盗取
robe n.；长袍，长衣，浴衣
robot n.；机器人；自动机
rock vt.；摇，使动摇；vi.；摇
rock n.；岩，岩石；石头
rocket n.；火箭，火箭发动机
rod n.；杆，竿，棒
role n.；角色，作用，任务
roll vi.&vt.；滚动；转动
roller n.；滚柱，滚筒，滚轴
Roman n.；古罗马人；adj.；罗马的
romantic adj.；浪漫的；传奇的
runner n.；赛跑的人
rural adj.；农村的，田园的
rush vi.；冲，奔；vt.；催促
Russian adj.；俄罗斯的；n.；俄国人
rust n.；锈；vi.；生锈，氧化
rusty adj.；生锈的；变迟钝的
rain n.；雨，雨水；vi.；下雨
rainbow n.；虹，彩虹
rainy adj.；下雨的，多雨的
raise vt.；举起；引起；提高
rake n.；耙子；vi.；耙；搜索
range n.；排，行；山脉；范围
rank n.；排，横行；社会阶层
rapid adj.；快的；n.；急流
rapidly adv.；迅速地
rare adj.；稀薄的；稀有的
rarely adv.；很少，难得
rat n.；老鼠，耗子
rate n.；比率；速度；价格
rather adv.；宁可，宁愿；相当
ratio n.；比，比率
rational adj.；理性的；出于理性的
raw adj.；未煮过的；未加工的
ray n.；光线，射线，辐射线
razor n.；剃刀
reach vt.；抵达；伸出；vi.；达到
react vi.；起反应；有影响
reaction n.；反应；反作用
read vt.；读，看懂；vi.；读
reader n.；读者；读物，读本
readily adv.；乐意地；无困难地
reading n.；读，阅读；读书
ready adj.；准备好的；愿意的
real adj.；真的；现实的
reality n.；现实；真实
realize vt.；实现；认识到
really adv.；真正地；实在
realm n.；王国，国土；领域
reap vt.&vi.；收割，收获
rear n.；后部，后面；背面
rear vt.；抚养，培养；栽种
reason n.；理由；理性；vi.；推理
reasonable adj.；合情合理的；公道的
rebel vi.；造反；n.；造反者
rebellion n.；造反；叛乱；反抗
recall vt.；回想；叫回；收回
receipt n.；收到；收条，收据
receive vt.；收到；得到；接待
receiver n.；收受者，收件人
recent adj.；新近的，最近的
recently adv.；最近，新近
reception adj.；接待；招待会；接受
relation n.；关系，联系；家属
relationship n.；关系，联系
relative adj.；有关系的；相对的
relatively adv.；相对地，比较地
relativity n.；相关性；相对性
relax vt.；使松弛；vi.；松弛
release vt.；释放；放松；发表
relevant adj.；有关的，贴切的
reliability n.；可靠性
reliable adj.；可靠的，可信赖的
reliance n.；信任，信赖，信心
relief n.；减轻；救济；援救
relieve vt.；减轻，解除；救济
religion n.；宗教；宗教信仰
religious adj.；宗教的；虔诚的
reluctant adj.；不愿的，勉强的
rely vi.；依赖，依靠；信赖
remain vi.；剩下，余留；保持
remains n.；残余，余额；废墟
remark vt.&vi.&n.；评论，谈论
remarkable adj.；异常的，非凡的
remedy n.&vt.；治疗；补救
remember vt.；记得，想起；记住
remind vt.；提醒，使想起
remote adj.；相隔很远的；冷淡的
removal n.；移动；迁移；除掉
remove vt.；移动，搬开；脱掉
render vt.；表示，给予；使得
renew vt.；使更新；vi.；更新
rent n.；租金，租；vi.；出租
repair vt.&n.；修理，修补
repeat vt.；重说，重做；n.；重复
repeatedly adv.；重复地；一再
repent vi.；悔悟，悔改；vt.；后悔
repetition n.；重复，反复
replace vt.；把…放回；取代
reply vi.&n.；回答，答复
report vt.&vi.；报告；汇报
reporter n.；记者，通讯员
represent vt.；描绘；代表；象征
representative adj.；代表性的；n.；代表
reproach vt.&n.；责备，指责
reproduce vt.&vi.；繁殖，生殖
republic n.；共和国，共和政体
republican adj.；共和国的
reputation n.；名誉，名声；好名声
roof n.；屋顶，车顶；顶
room n.；房间；地位；余地
root n.；根，根子；vi.；生根
rope n.；绳，索
rose n.；蔷薇花，蔷薇科植物
rot vt.；烂，腐坏；n.；腐烂
rotary adj.；旋转的，转动的
rotate vi.；旋转；vt.；使旋转
rotation n.；旋转，转动；循环
rotten adj.；腐烂的，发臭的
rough adj.；表面不平的；粗略的
roughly adv.；粗糙地，粗略地
round adj.；圆的；n.；兜圈；一轮
rouse vt.；唤醒，唤起；惊起
route n.；路，路线，路程
routine n.；例行公事；adj.；日常的
row n.(一)排，(一)行
row vt.；划(船等)vi.；划船
royal adj.；王的；皇家的
rub vt.；摩擦，擦；vi.；摩擦
rubber n.；橡皮(擦子)；橡胶
rubbish n.；垃圾，废物；废话
rude adj.；加工粗糙的；粗野的
rug n.；小地毯；毛毯
ruin n.；毁灭；废墟；vt.；毁坏
rule n.；统治；规定；习惯
ruler n.；统治者；尺，直尺
rumour n.；谣言，谣传，传闻
run vi.；跑，奔；行驶；流
sack n.；袋，麻袋；开除
sacred adj.；上帝的；神圣的
sacrifice n.&vt.；牺牲；南祭
sad adj.；悲哀的，令人悲痛的
saddle n.；鞍子，马鞍
sadly adv.；悲痛地，悲哀地
sadness n.；悲痛，悲哀
safe adj.；安全的；谨慎的
safe n.；保险箱
safely adv.；安全地；可靠地
safety n.；安全，保险
scientist n.(自然)科学家
scissors n.；剪刀，剪子
scold vi.；责骂；vt.；申斥
scope n.；范围；余地，机会
score n.；得分，比数，成绩
scorn n.；轻蔑；嘲笑；vt.；轻蔑
scout n.；侦察员，侦察机
scrape vt.&vi.&n.；刮，擦
scratch vt.&vi.&n.；搔；抓
scream vi.；尖叫；呼啸
screen n.；屏；屏幕；vt.；掩蔽
screw n.；螺旋，螺丝；vt.；拧紧
sea n.；海，海洋
seal n.；封蜡；印记；vt.；封
seal n.；海豹
seaman n.；海员，水手；水兵
seaport n.；海港，港市
search vt.；在…中搜寻，搜查
season n.；季，季节，时节
seat n.；座；座部；vt.；使坐下
second num.；第二；adj.；二等的
second n.；秒
secondary adj.；第二的；次要的
secondly adv.；第二(点)；其次
secret adj.；秘密的；隐蔽的
secretary n.；秘书；书记；大臣
section n.；切片；一段；部门
secure adj.；安心的；安全的
security n.；安全，安全感
see vt.；看见；遇见；看出
seed n.；种(子)，籽，萌芽
seek vt.；寻找，探索；试图
seem vi.；好像，似乎
seize vt.；抓住，逮捕；夺取
seldom adv.；很少，不常，难得
select vt.&vi.；选择，挑选
selection n.；选择，挑选；精选物
self n.；自我，自己
selfish adj.；自私的，利己的
sell vt.&vi.；卖，销售
seller n.；卖者；行销货
semester n.；半年；学期，半学年
semiconductor n.；半导体
senate n.；参议院，上院
send vt.；送，寄发；派遣
senior adj.；年少的；地位较高的
shed n.；棚，小屋；贷棚
sheep n.；羊，绵羊
sheet n.；被单；纸张；薄板
shelf n.；搁板，架子
shell n.；壳；贝壳；炮弹
shelter n.；隐蔽处；掩蔽，庇护
shepherd n.；牧羊人，羊倌
shield n.；盾；防护物；vt.；保护
shift vt.；替换，转移；n.；转换
shilling n.；先令
shine vi.；照耀，发光；n.；光
ship n.(大)船，海船，舰
shirt n.(男式)衬衫
shiver vi.；颤抖，哆嗦；n.；冷颤
shock n.；冲击；震惊；vi.；震动
shoe n.；鞋
shoot vt.；发射；射中；n.；发芽
shop n.；商店，店铺；车间
shopkeeper n.；店主
shopping n.；买东西，购物
shore n.；滨，岸
short adj.；短的；短期的
shortage n.；不足，缺少，不足额
shortcoming n.；短处，缺点
shortly adv.；立刻；简短地
shot n.；发射；弹丸；射门
should aux.v.；将；万一；就
shoulder n.；肩，肩膀；挑起
shout n.&vi.；呼喊，喊叫
show vt.；给…看；表明
shower n.；阵雨；(一)阵；淋浴
shriek vi.；尖声喊叫；n.；尖叫声
shrink vi.；收缩；缩小；退缩
shut vt.；关上，闭上，关闭
shy adj.；易受惊的；害羞的
sick adj.；有病的；恶心的
sickness n.；疾病
sideways adv.；斜着，斜向一边地
sigh n.&vi.；叹气，叹息
sight n.；视力；见；情景
sightseeing n.；观光，游览
sign n.；符号；招牌；n.；签名
signal n.；信号；vi.；发信号
signature n.；署名，签字，签名
significance n.；意义，意味；重要性
slender adj.；细长的；微薄的
slide vi.；滑；vt.；使滑动；n.；滑
slight adj.；细长的；轻微的
slightly adv.；稍微，有点
slip vi.；滑跤；滑落；溜
slipper n.；拖鞋，便鞋
slippery adj.；滑的，使人滑跤的
slit n.；裂缝；vt.；切开，撕开
slogan n.；标语，口号
slope n.；倾斜；斜面；vi.；倾斜
slow adj.；慢的；迟钝的
slowly adv.；慢慢地
slum n.；贫民窟，贫民区
sly adj.；狡猾的；躲躲闪闪的
small adj.；小的，少的；小型的
smart adj.；巧妙的；洒脱的
smell n.；嗅觉；气味；vt.；嗅
smile vi.；微笑；n.；微笑，笑容
smog n.；烟雾
smoke n.；烟；抽烟；vi.；冒烟
smooth adj.；平滑的；平静的
smoothly adv.；光滑地；平稳地
snake n.；蛇
snow n.；雪；vi.；下雪
snowstorm n.；雪暴，暴风雪
snowy adj.；雪的，下雪的
so adv.；这样；这么；非常
soak vt.；浸，泡；vi.；浸泡
soap n.；肥皂
sob vi.&n.；啜泣，呜咽
sober adj.；清醒的；适度的
so-called adj.；所谓的，号称的
soccer n.；英式足球
social adj.；社会的；社交的
socialism n.；社会主义
socialist adj.；社会主义的
society n.；社会；团体；社交界
sock n.；短袜
soda n.；碳酸钠，纯碱；汽水
soft adj.；软的；柔和的
softly adv.；柔软地；温柔地
soil n.；泥土，土壤，土地
soil vt.；弄脏；vi.；变脏
solar adj.；太阳的，日光的
soldier n.(陆军)士兵，军人
sparrow n.；麻雀
speak vi.；说话；发言；vt.；说
speaker n.；说话者；扬声器
spear n.；矛，枪
special adj.；特殊的；专门的
specialist n.；专家
speciality n.；专业，特长；特产
specialize vi.；成为…专家；专攻
specially adv.；专门地，特别地
specific adj.；特有的；具体的
specify vi.；指定，详细说明
specimen n.；样本，标本，样品
spectacle n.；光景，景象；眼镜
speech n.；言语；演说；方言
speed n.；快；速率；vi.；快行
spell vt.；拼写；vi.；拼字
spelling n.；拼字，拼法，拼写法
spend vt.；用钱，花费；度过
sphere n.；球，圆体；范围
spider n.；蜘蛛
spill vt.；使溢出；vi.；溢出
spin vt.；纺；使旋转；n.；旋转
spirit n.；精神；气魄；情绪
spiritual adj.；精神的，心灵的
spit vi.；吐；vi.；吐唾沫
splash vt.&n.；溅，泼，飞溅
splendid adj.；壮丽的；显著的
split vt.；劈开；vi.；被劈开
spoil vt.；损坏，糟蹋；宠坏
sponge n.；海绵
sponsor n.；发起者；vt.；发起
spontaneous adj.；自发的；本能的
spoon n.；匙，调羹
sport n.；运动；运动会
sportsman n.；运动员
spot n.；点，斑点；地点
spray n.；浪花；喷雾；vt.；喷
spread vt.；伸开；传播；n.；传播
spring vi.；跳，跃；n.；跳跃；泉
spring n.；春天，春季
springtime n.；春季，春天
sprinkle n.；洒，撒；小雨
spur n.；刺激物；vt.；刺激
spy n.；间谍，特务；vt.；侦察
square n.；正方形；广场
squeeze vt.&vi.；榨，挤；压榨
strong adj.；强壮的；擅长的
strongly adv.；强壮地，强烈地
structural adj.；结构的，构造的
structure n.；结构；构造；vt.；建造
struggle n.&vi.；斗争，奋斗
student n.；学生；研究生，学者
study n.；学习，研究；vt.；学
stuff n.；材料；vt.；装，填，塞
stumble vi.；绊倒；犯错误
stupid adj.；愚蠢的；感觉迟钝的
subject n.；题目；学科；主语
submarine adj.；水下的；n.；潜水艇
submerge vt.；浸没；vi.；潜入水中
submit vt.；使服从；vi.；服从
subsequent adj.；随后的，后来的
substance n.；物质；实质；本旨
